epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8755,1.52851,2.06459,1.64259,0.239,0.343,0.19754,0.08527,1.81478,7.10344,1.98438,0.0677333,0.000325926,0.000325926
2,124.693,1.57609,1.67538,1.67573,0.25942,0.30048,0.20439,0.09638,1.79022,4.70181,2.26593,0.0347116,0.000637504,0.000637504
3,186.847,1.60091,1.65801,1.71209,0.27324,0.31141,0.19696,0.0925,1.95042,3.89784,2.17597,0.00166782,0.000927081,0.000927081
4,244.898,1.58431,1.64258,1.68713,0.30074,0.29194,0.21176,0.10147,1.7217,3.53814,2.11457,0.000901,0.000901,0.000901
5,303.808,1.57275,1.59038,1.67735,0.44172,0.42087,0.37716,0.20721,1.61694,2.366,1.88072,0.000868,0.000868,0.000868
6,362.064,1.54834,1.55268,1.65729,0.45674,0.42452,0.39377,0.21947,1.55746,2.25383,1.79131,0.000835,0.000835,0.000835
7,423.624,1.51807,1.49458,1.63897,0.40257,0.45736,0.39351,0.22451,1.43122,2.04905,1.69465,0.000802,0.000802,0.000802
8,482.117,1.49138,1.44488,1.62349,0.42075,0.43939,0.37971,0.21569,1.46885,1.84083,1.74632,0.000769,0.000769,0.000769
9,539.678,1.46129,1.39704,1.60871,0.48479,0.4152,0.38855,0.21504,1.50307,1.7817,1.69096,0.000736,0.000736,0.000736
10,597.91,1.45145,1.40922,1.5925,0.47733,0.4669,0.42492,0.24638,1.40766,1.65819,1.65175,0.000703,0.000703,0.000703
11,660.21,1.4226,1.34121,1.57847,0.56712,0.50315,0.5154,0.30872,1.35703,1.49903,1.6116,0.00067,0.00067,0.00067
12,719.784,1.40729,1.3088,1.56305,0.60118,0.54387,0.54431,0.32998,1.3373,1.4467,1.61595,0.000637,0.000637,0.000637
13,778.371,1.38619,1.26924,1.53835,0.58922,0.49113,0.5218,0.30709,1.39304,1.50595,1.62278,0.000604,0.000604,0.000604
14,836.594,1.38293,1.26706,1.55025,0.5149,0.54423,0.50977,0.30417,1.33819,1.48545,1.59501,0.000571,0.000571,0.000571
15,893.906,1.36687,1.23686,1.52463,0.54801,0.5499,0.53289,0.32212,1.2696,1.408,1.57077,0.000538,0.000538,0.000538
16,955.122,1.36491,1.22317,1.5504,0.57315,0.54363,0.54216,0.32273,1.32501,1.4442,1.59557,0.000505,0.000505,0.000505
17,1012.01,1.34637,1.19778,1.51825,0.64284,0.53687,0.57178,0.34839,1.24582,1.33096,1.53237,0.000472,0.000472,0.000472
18,1070.78,1.32124,1.13159,1.49509,0.62956,0.56537,0.5927,0.36843,1.30694,1.30002,1.55807,0.000439,0.000439,0.000439
19,1129.61,1.31756,1.11744,1.49115,0.627,0.55948,0.58994,0.37844,1.20826,1.281,1.51958,0.000406,0.000406,0.000406
20,1189,1.28877,1.09812,1.46239,0.63041,0.54816,0.58726,0.37728,1.19955,1.31131,1.50705,0.000373,0.000373,0.000373
21,1251.49,1.28762,1.05776,1.49291,0.64084,0.57315,0.59966,0.37676,1.21495,1.23833,1.50717,0.00034,0.00034,0.00034
22,1309.76,1.24986,1.01404,1.47366,0.64615,0.5805,0.60158,0.38397,1.19315,1.27114,1.49211,0.000307,0.000307,0.000307
23,1369.78,1.23189,0.99156,1.44718,0.64433,0.59577,0.61611,0.40184,1.18262,1.21031,1.48731,0.000274,0.000274,0.000274
24,1428.87,1.20963,0.94222,1.43341,0.66587,0.61406,0.62833,0.41201,1.16952,1.21436,1.48535,0.000241,0.000241,0.000241
25,1491.79,1.17741,0.91026,1.41578,0.64862,0.60476,0.63229,0.41572,1.14871,1.17191,1.46896,0.000208,0.000208,0.000208
26,1551.42,1.16623,0.87735,1.39342,0.66928,0.61369,0.64026,0.43022,1.13699,1.1517,1.45711,0.000175,0.000175,0.000175
27,1610.29,1.13047,0.84714,1.38055,0.66661,0.60925,0.64172,0.43685,1.11687,1.14587,1.44633,0.000142,0.000142,0.000142
28,1669.63,1.11875,0.80507,1.36415,0.72377,0.57691,0.6546,0.44517,1.10719,1.13717,1.44109,0.000109,0.000109,0.000109
29,1733.94,1.10237,0.7914,1.35626,0.69422,0.63799,0.67072,0.45217,1.10443,1.0791,1.43359,7.6e-05,7.6e-05,7.6e-05
30,1793.66,1.0898,0.77233,1.33641,0.70887,0.62692,0.67556,0.45908,1.10022,1.0785,1.43201,4.3e-05,4.3e-05,4.3e-05
